Office Name,Contest ID,Ballot Name,Choice ID,Party,Total
US House of Representatives - District 13,USH13,"Everton ""EJ"" Blair (Dem)",1,,7680
US House of Representatives - District 13,USH13,Caesar Gonzales (Rep),3,,1778
US House of Representatives - District 13,USH13,Carlos Moore (Dem),4,,639
US House of Representatives - District 13,USH13,Fayth Park (Rep),5,,972
US House of Representatives - District 13,USH13,Marcye Scott (Dem),6,,9441
US House of Representatives - District 13,USH13,Total Votes,,,20510
