Office Name,Contest ID,Ballot Name,Choice ID,Party,Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commissioner of Insurance - Dem,S6D,Total Votes,,,381479,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State School Superintendent - Rep,S7R,"Fred ""Bubba"" Longgrear",56,REP,324900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State School Superintendent - Rep,S7R,Richard Woods (I),59,REP,344836,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State School Superintendent - Rep,S7R,Total Votes,,,669736,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commissioner of Labor - Dem,S8D,Nikki Porcher,66,DEM,232326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commissioner of Labor - Dem,S8D,Michelle Michi Sanchez,67,DEM,144000,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Commissioner of Labor - Dem,S8D,Total Votes,,,376326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSC - District 5 - Rep,S13R,Bobby Mehan,72,REP,250129,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSC - District 5 - Rep,S13R,Josh Tolbert,74,REP,371422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PSC - District 5 - Rep,S13R,Total Votes,,,621551,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US House of Representatives - District 1 - Dem,USH1D,Joyce Marie Griggs,85,DEM,11206,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US House of Representatives - District 1 - Dem,USH1D,Amanda Hollowell,86,DEM,12617,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US House of Representatives - District 1 - Dem,USH1D,Total Votes,,,23823,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US House of Representatives - District 7 - Dem,USH7D,Tony Kozycki,78,DEM,11664,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US House of Representatives - District 7 - Dem,USH7D,Case Norton,80,DEM,5557,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US House of Representatives - District 7 - Dem,USH7D,Total Votes,,,17221,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US House of Representatives - District 11 - Rep,USH11R,Rob Adkerson,78,REP,24135,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US House of Representatives - District 11 - Rep,USH11R,John Cowan,81,REP,44780,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US House of Representatives - District 11 - Rep,USH11R,Total Votes,,,68915,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US House of Representatives - District 12 - Dem,USH12D,"Traci ""Acree"" George",79,DEM,13326,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US House of Representatives - District 12 - Dem,USH12D,Ceretta Smith,81,DEM,16815,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
US House of Representatives - District 12 - Dem,USH12D,Total Votes,,,30141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Senate - District 7/ Senador Estatal del Distrito 7 - Dem,SSD7D,Rahul Garabadu,103,DEM,3073,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Senate - District 7/ Senador Estatal del Distrito 7 - Dem,SSD7D,Ruwa Romman,104,DEM,4636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Senate - District 7/ Senador Estatal del Distrito 7 - Dem,SSD7D,Total Votes,,,7709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special State Senate - District 7/ Especial Senador Estatal del Distrito 7,SSD7,Aizaz Shahbaz Shaikh (Rep),240,,8130,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special State Senate - District 7/ Especial Senador Estatal del Distrito 7,SSD7,Adrienne White (Dem),241,,8504,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Special State Senate - District 7/ Especial Senador Estatal del Distrito 7,SSD7,Total Votes,,,16634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Senate - District 10 - Dem,SSD10D,Larry Johnson,94,DEM,12620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Senate - District 10 - Dem,SSD10D,Gabrielle Rogers,95,DEM,6728,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Senate - District 10 - Dem,SSD10D,Total Votes,,,19348,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Senate - District 14 - Dem,SSD14D,Kevin Abel,91,DEM,4317,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Senate - District 14 - Dem,SSD14D,Nathalie J. Kanani,93,DEM,4170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Senate - District 14 - Dem,SSD14D,Total Votes,,,8487,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Senate - District 46 - Rep,SSD46R,Doug McKillip,86,REP,6636,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
State Senate - District 46 - Rep,SSD46R,Marc McMain,87,REP,12080,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
